two_theta_deg,intensity_counts
6.2020999299999993,742
6.2048165399999995,779
6.2075331499999997,744
6.21024976,822
6.2129663699999993,818
6.2156829799999995,778
6.2183995899999998,796
6.2211161999999991,820
6.2238328099999993,768
6.2265494199999996,781
6.2292660299999998,784
6.23198264,762
6.2346992499999994,759
6.2374158599999996,771
6.2401324699999998,753
6.2428490799999992,774
6.2455656899999994,796
6.2482822999999996,807
6.2509989099999999,787
6.2537155200000001,793
6.2564321299999994,787
6.2591487399999997,767
6.2618653499999999,803
6.2645819599999992,775
6.2672985699999995,791
6.2700151799999997,768
6.2727317899999999,830
6.2754484000000001,749
6.2781650099999995,822
6.2808816199999997,791
6.2835982299999991,789
6.2863148399999993,794
6.2890314499999995,774
6.2917480599999998,746
6.29446467,758
6.2971812799999993,763
6.2998978899999996,777
6.3026144999999998,787
6.3053311099999991,801
6.3080477199999994,732
6.3107643299999996,697
6.3134809399999998,789
6.31619755,775
6.3189141599999994,767
6.3216307699999996,807
6.3243473799999999,828
6.3270639899999992,784
6.3297805999999994,781
6.3324972099999997,779
6.3352138199999999,764
6.3379304300000001,812
6.3406470399999995,778
6.3433636499999997,814
6.3460802599999999,827
6.3487968699999993,744
6.3515134799999995,788
6.3542300899999997,802
6.3569467,761
6.3596633099999993,792
6.3623799199999995,673
6.3650965299999998,743
6.3678131399999991,794
6.3705297499999993,697
6.3732463599999996,757
6.3759629699999998,829
6.37867958,749
6.3813961899999994,735
6.3841127999999996,786
6.3868294099999998,805
6.3895460199999992,750
6.3922626299999994,748
6.3949792399999996,762
6.3976958499999999,808
6.4004124600000001,770
6.4031290699999994,743
6.4058456799999997,817
6.4085622899999999,773
6.4112788999999992,800
6.4139955099999995,766
6.4167121199999997,751
6.4194287299999999,774
6.4221453400000001,777
6.4248619499999995,794
6.4275785599999997,740
6.4302951699999991,794
6.4330117799999993,757
6.4357283899999995,732
6.4384449999999998,757
6.44116161,747
6.4438782199999993,742
6.4465948299999996,796
6.4493114399999998,773
6.4520280499999991,794
6.4547446599999994,783
6.4574612699999996,778
6.4601778799999998,763
6.46289449,729
6.4656110999999994,771
6.4683277099999996,793
6.4710443199999998,753
6.4737609299999992,782
6.4764775399999994,771
6.4791941499999997,783
6.4819107599999999,873
6.4846273700000001,792
6.4873439799999995,767
6.4900605899999997,797
6.4927771999999999,730
6.4954938099999993,752
6.4982104199999995,775
6.5009270299999997,782
6.5036436399999999,795
6.5063602499999993,745
6.5090768599999995,742
6.5117934699999998,793
6.5145100799999991,766
6.5172266899999993,777
